Country,ISO3,Year,RiskValue,RiskLevel,Advice
Eswatini,SWZ,2025,1.21,low,"Consider mosquito protection (DEET, bed net). Consult a travel clinic about prophylaxis."
Ethiopia,ETH,2025,110.38,high,"Malaria prophylaxis is strongly recommended, along with mosquito protection. Consult a travel clinic in good time (4-6 weeks in advance)."
French Guiana,GUF,2025,0.0,none,No malaria prophylaxis needed. Still protect yourself against mosquito bites as an extra precaution.
Gabon,GAB,2025,189.12,high,"Malaria prophylaxis is strongly recommended, along with mosquito protection. Consult a travel clinic in good time (4-6 weeks in advance)."
Gambia,GMB,2025,101.04,high,"Malaria prophylaxis is strongly recommended, along with mosquito protection. Consult a travel clinic in good time (4-6 weeks in advance)."
Georgia,GEO,2025,0.0,none,No malaria prophylaxis needed. Still protect yourself against mosquito bites as an extra precaution.
Ghana,GHA,2025,186.3,high,"Malaria prophylaxis is strongly recommended, along with mosquito protection. Consult a travel clinic in good time (4-6 weeks in advance)."
Guatemala,GTM,2025,0.0,none,No malaria prophylaxis needed. Still protect yourself against mosquito bites as an extra precaution.
Guinea,GIN,2025,276.55,high,"Malaria prophylaxis is strongly recommended, along with mosquito protection. Consult a travel clinic in good time (4-6 weeks in advance)."
Guinea-Bissau,GNB,2025,104.08,high,"Malaria prophylaxis is strongly recommended, along with mosquito protection. Consult a travel clinic in good time (4-6 weeks in advance)."
Guyana,GUY,2025,19.87,moderate,Malaria prophylaxis is recommended. Consult a travel clinic or your doctor before departure.
Haiti,HTI,2025,13.15,moderate,Malaria prophylaxis is recommended. Consult a travel clinic or your doctor before departure.
Honduras,HND,2025,0.05,low,"Consider mosquito protection (DEET, bed net). Consult a travel clinic about prophylaxis."
India,IND,2025,0.93,low,"Consider mosquito protection (DEET, bed net). Consult a travel clinic about prophylaxis."
Indonesia,IDN,2025,2.59,low,"Consider mosquito protection (DEET, bed net). Consult a travel clinic about prophylaxis."
Iran,IRN,2025,0.01,low,"Consider mosquito protection (DEET, bed net). Consult a travel clinic about prophylaxis."
Iraq,IRQ,2025,0.0,none,No malaria prophylaxis needed. Still protect yourself against mosquito bites as an extra precaution.
Kenya,KEN,2025,71.85,moderate,Malaria prophylaxis is recommended. Consult a travel clinic or your doctor before departure.
Kyrgyzstan,KGZ,2025,0.0,none,No malaria prophylaxis needed. Still protect yourself against mosquito bites as an extra precaution.
Laos,LAO,2025,0.02,low,"Consider mosquito protection (DEET, bed net). Consult a travel clinic about prophylaxis."
Liberia,LBR,2025,170.36,high,"Malaria prophylaxis is strongly recommended, along with mosquito protection. Consult a travel clinic in good time (4-6 weeks in advance)."
Madagascar,MDG,2025,125.42,high,"Malaria prophylaxis is strongly recommended, along with mosquito protection. Consult a travel clinic in good time (4-6 weeks in advance)."
Malawi,MWI,2025,285.0,high,"Malaria prophylaxis is strongly recommended, along with mosquito protection. Consult a travel clinic in good time (4-6 weeks in advance)."
Malaysia,MYS,2025,0.0,none,No malaria prophylaxis needed. Still protect yourself against mosquito bites as an extra precaution.
Mali,MLI,2025,228.94,high,"Malaria prophylaxis is strongly recommended, along with mosquito protection. Consult a travel clinic in good time (4-6 weeks in advance)."
Mauritania,MRT,2025,56.44,moderate,Malaria prophylaxis is recommended. Consult a travel clinic or your doctor before departure.
Mayotte,MYT,2025,0.0,none,No malaria prophylaxis needed. Still protect yourself against mosquito bites as an extra precaution.
Mexico,MEX,2025,0.0,none,No malaria prophylaxis needed. Still protect yourself against mosquito bites as an extra precaution.
Morocco,MAR,2025,0.0,none,No malaria prophylaxis needed. Still protect yourself against mosquito bites as an extra precaution.
Mozambique,MOZ,2025,285.34,high,"Malaria prophylaxis is strongly recommended, along with mosquito protection. Consult a travel clinic in good time (4-6 weeks in advance)."
Myanmar,MMR,2025,2.34,low,"Consider mosquito protection (DEET, bed net). Consult a travel clinic about prophylaxis."
Namibia,NAM,2025,8.72,low,"Consider mosquito protection (DEET, bed net). Consult a travel clinic about prophylaxis."
Nepal,NPL,2025,0.0,low,"Consider mosquito protection (DEET, bed net). Consult a travel clinic about prophylaxis."
Nicaragua,NIC,2025,0.14,low,"Consider mosquito protection (DEET, bed net). Consult a travel clinic about prophylaxis."
Niger,NER,2025,260.86,high,"Malaria prophylaxis is strongly recommended, along with mosquito protection. Consult a travel clinic in good time (4-6 weeks in advance)."
Nigeria,NGA,2025,267.5,high,"Malaria prophylaxis is strongly recommended, along with mosquito protection. Consult a travel clinic in good time (4-6 weeks in advance)."
North Korea,PRK,2025,0.0,none,No malaria prophylaxis needed. Still protect yourself against mosquito bites as an extra precaution.
Oman,OMN,2025,0.0,low,"Consider mosquito protection (DEET, bed net). Consult a travel clinic about prophylaxis."
Pakistan,PAK,2025,16.84,moderate,Malaria prophylaxis is recommended. Consult a travel clinic or your doctor before departure.
Panama,PAN,2025,0.0,low,"Consider mosquito protection (DEET, bed net). Consult a travel clinic about prophylaxis."
Papua New Guinea,PNG,2025,114.25,high,"Malaria prophylaxis is strongly recommended, along with mosquito protection. Consult a travel clinic in good time (4-6 weeks in advance)."
Paraguay,PRY,2025,0.0,none,No malaria prophylaxis needed. Still protect yourself against mosquito bites as an extra precaution.
Peru,PER,2025,0.4,low,"Consider mosquito protection (DEET, bed net). Consult a travel clinic about prophylaxis."
Philippines,PHL,2025,0.2,low,"Consider mosquito protection (DEET, bed net). Consult a travel clinic about prophylaxis."
Rwanda,RWA,2025,38.39,moderate,Malaria prophylaxis is recommended. Consult a travel clinic or your doctor before departure.
Sao Tome And Principe,STP,2025,33.46,moderate,Malaria prophylaxis is recommended. Consult a travel clinic or your doctor before departure.
Saudi Arabia,SAU,2025,0.0,none,No malaria prophylaxis needed. Still protect yourself against mosquito bites as an extra precaution.
Senegal,SEN,2025,60.07,moderate,Malaria prophylaxis is recommended. Consult a travel clinic or your doctor before departure.
Sierra Leone,SLE,2025,266.48,high,"Malaria prophylaxis is strongly recommended, along with mosquito protection. Consult a travel clinic in good time (4-6 weeks in advance)."
Solomon Islands,SLB,2025,103.77,high,"Malaria prophylaxis is strongly recommended, along with mosquito protection. Consult a travel clinic in good time (4-6 weeks in advance)."
Somalia,SOM,2025,52.47,moderate,Malaria prophylaxis is recommended. Consult a travel clinic or your doctor before departure.
South Africa,ZAF,2025,0.19,low,"Consider mosquito protection (DEET, bed net). Consult a travel clinic about prophylaxis."
South Korea,KOR,2025,0.0,none,No malaria prophylaxis needed. Still protect yourself against mosquito bites as an extra precaution.
South Sudan,SSD,2025,246.04,high,"Malaria prophylaxis is strongly recommended, along with mosquito protection. Consult a travel clinic in good time (4-6 weeks in advance)."
Sri Lanka,LKA,2025,0.0,none,No malaria prophylaxis needed. Still protect yourself against mosquito bites as an extra precaution.
Sudan,SDN,2025,80.59,moderate,Malaria prophylaxis is recommended. Consult a travel clinic or your doctor before departure.
Suriname,SUR,2025,0.0,none,No malaria prophylaxis needed. Still protect yourself against mosquito bites as an extra precaution.
Syria,SYR,2025,0.0,none,No malaria prophylaxis needed. Still protect yourself against mosquito bites as an extra precaution.
Tajikistan,TJK,2025,0.0,none,No malaria prophylaxis needed. Still protect yourself against mosquito bites as an extra precaution.
Tanzania,TZA,2025,131.18,high,"Malaria prophylaxis is strongly recommended, along with mosquito protection. Consult a travel clinic in good time (4-6 weeks in advance)."
Thailand,THA,2025,0.01,low,"Consider mosquito protection (DEET, bed net). Consult a travel clinic about prophylaxis."
Timor-Leste,TLS,2025,0.0,none,No malaria prophylaxis needed. Still protect yourself against mosquito bites as an extra precaution.
Togo,TGO,2025,235.82,high,"Malaria prophylaxis is strongly recommended, along with mosquito protection. Consult a travel clinic in good time (4-6 weeks in advance)."
Turkey,TUR,2025,0.0,none,No malaria prophylaxis needed. Still protect yourself against mosquito bites as an extra precaution.
Turkmenistan,TKM,2025,0.0,none,No malaria prophylaxis needed. Still protect yourself against mosquito bites as an extra precaution.
Uganda,UGA,2025,251.45,high,"Malaria prophylaxis is strongly recommended, along with mosquito protection. Consult a travel clinic in good time (4-6 weeks in advance)."
Uzbekistan,UZB,2025,0.0,none,No malaria prophylaxis needed. Still protect yourself against mosquito bites as an extra precaution.
Vanuatu,VUT,2025,0.0,none,No malaria prophylaxis needed. Still protect yourself against mosquito bites as an extra precaution.
Venezuela,VEN,2025,2.2,low,"Consider mosquito protection (DEET, bed net). Consult a travel clinic about prophylaxis."
Vietnam,VNM,2025,0.0,low,"Consider mosquito protection (DEET, bed net). Consult a travel clinic about prophylaxis."
Yemen,YEM,2025,45.72,moderate,Malaria prophylaxis is recommended. Consult a travel clinic or your doctor before departure.
Zambia,ZMB,2025,266.38,high,"Malaria prophylaxis is strongly recommended, along with mosquito protection. Consult a travel clinic in good time (4-6 weeks in advance)."
Zimbabwe,ZWE,2025,21.82,moderate,Malaria prophylaxis is recommended. Consult a travel clinic or your doctor before departure.
