Country,ISO3,Year,RiskValue,RiskLevel,Advice
Afghanistan,AFG,2025,1.39,low,"Consider mosquito protection (DEET, bed net). Consult a travel clinic about prophylaxis."
Algeria,DZA,2025,0.0,none,No malaria prophylaxis needed. Still protect yourself against mosquito bites as an extra precaution.
Angola,AGO,2025,251.98,high,"Malaria prophylaxis is strongly recommended, along with mosquito protection. Consult a travel clinic in good time (4-6 weeks in advance)."
Argentina,ARG,2025,0.0,none,No malaria prophylaxis needed. Still protect yourself against mosquito bites as an extra precaution.
Armenia,ARM,2025,0.0,none,No malaria prophylaxis needed. Still protect yourself against mosquito bites as an extra precaution.
Azerbaijan,AZE,2025,0.0,none,No malaria prophylaxis needed. Still protect yourself against mosquito bites as an extra precaution.
Bangladesh,BGD,2025,0.27,low,"Consider mosquito protection (DEET, bed net). Consult a travel clinic about prophylaxis."
Belize,BLZ,2025,0.0,none,No malaria prophylaxis needed. Still protect yourself against mosquito bites as an extra precaution.
Benin,BEN,2025,334.75,high,"Malaria prophylaxis is strongly recommended, along with mosquito protection. Consult a travel clinic in good time (4-6 weeks in advance)."
Bhutan,BTN,2025,0.0,none,No malaria prophylaxis needed. Still protect yourself against mosquito bites as an extra precaution.
Bolivia,BOL,2025,0.32,low,"Consider mosquito protection (DEET, bed net). Consult a travel clinic about prophylaxis."
Botswana,BWA,2025,0.44,low,"Consider mosquito protection (DEET, bed net). Consult a travel clinic about prophylaxis."
Brazil,BRA,2025,0.23,low,"Consider mosquito protection (DEET, bed net). Consult a travel clinic about prophylaxis."
Burkina Faso,BFA,2025,334.03,high,"Malaria prophylaxis is strongly recommended, along with mosquito protection. Consult a travel clinic in good time (4-6 weeks in advance)."
Burundi,BDI,2025,321.81,high,"Malaria prophylaxis is strongly recommended, along with mosquito protection. Consult a travel clinic in good time (4-6 weeks in advance)."
Cambodia,KHM,2025,0.0,low,"Consider mosquito protection (DEET, bed net). Consult a travel clinic about prophylaxis."
Cameroon,CMR,2025,251.24,high,"Malaria prophylaxis is strongly recommended, along with mosquito protection. Consult a travel clinic in good time (4-6 weeks in advance)."
Cape Verde,CPV,2025,0.0,none,No malaria prophylaxis needed. Still protect yourself against mosquito bites as an extra precaution.
Central African Republic,CAF,2025,332.76,high,"Malaria prophylaxis is strongly recommended, along with mosquito protection. Consult a travel clinic in good time (4-6 weeks in advance)."
Chad,TCD,2025,200.02,high,"Malaria prophylaxis is strongly recommended, along with mosquito protection. Consult a travel clinic in good time (4-6 weeks in advance)."
China,CHN,2025,0.0,none,No malaria prophylaxis needed. Still protect yourself against mosquito bites as an extra precaution.
Colombia,COL,2025,1.79,low,"Consider mosquito protection (DEET, bed net). Consult a travel clinic about prophylaxis."
Comoros,COM,2025,82.28,moderate,Malaria prophylaxis is recommended. Consult a travel clinic or your doctor before departure.
Congo,COG,2025,215.29,high,"Malaria prophylaxis is strongly recommended, along with mosquito protection. Consult a travel clinic in good time (4-6 weeks in advance)."
Costa Rica,CRI,2025,0.08,low,"Consider mosquito protection (DEET, bed net). Consult a travel clinic about prophylaxis."
Côte d'Ivoire,CIV,2025,262.44,high,"Malaria prophylaxis is strongly recommended, along with mosquito protection. Consult a travel clinic in good time (4-6 weeks in advance)."
Democratic Republic of the Congo,COD,2025,283.38,high,"Malaria prophylaxis is strongly recommended, along with mosquito protection. Consult a travel clinic in good time (4-6 weeks in advance)."
Djibouti,DJI,2025,51.37,moderate,Malaria prophylaxis is recommended. Consult a travel clinic or your doctor before departure.
Dominican Republic,DOM,2025,0.06,low,"Consider mosquito protection (DEET, bed net). Consult a travel clinic about prophylaxis."
Ecuador,ECU,2025,0.01,low,"Consider mosquito protection (DEET, bed net). Consult a travel clinic about prophylaxis."
El Salvador,SLV,2025,0.0,none,No malaria prophylaxis needed. Still protect yourself against mosquito bites as an extra precaution.
Equatorial Guinea,GNQ,2025,224.26,high,"Malaria prophylaxis is strongly recommended, along with mosquito protection. Consult a travel clinic in good time (4-6 weeks in advance)."
Eritrea,ERI,2025,31.43,moderate,Malaria prophylaxis is recommended. Consult a travel clinic or your doctor before departure.
